source	target	similarity
otu_68	otu_864	0.9473684210526316
otu_653	otu_673	0.9473684210526316
otu_653	otu_793	0.9473684210526316
otu_204	otu_575	0.9473684210526316
otu_204	otu_653	0.9473684210526316
otu_329	otu_864	0.9473684210526316
otu_329	otu_653	0.9473684210526316
otu_138	otu_673	0.9473684210526316
otu_138	otu_358	0.9473684210526316
otu_138	otu_507	0.9473684210526316
otu_138	otu_329	0.9473684210526316
otu_358	otu_711	0.9473684210526316
otu_138	otu_793	0.9473684210526316
otu_358	otu_754	0.9473684210526316
otu_108	otu_145	0.9473684210526316
otu_108	otu_793	0.9473684210526316
otu_204	otu_382	0.9473684210526316
otu_204	otu_317	0.9473684210526316
otu_711	otu_793	0.9473684210526316
otu_204	otu_356	0.9473684210526316
otu_190	otu_754	0.9473684210526316
otu_68	otu_256	0.9473684210526316
otu_317	otu_793	0.9473684210526316
otu_329	otu_711	0.9473684210526316
otu_329	otu_356	0.9473684210526316
otu_329	otu_382	0.9473684210526316
otu_317	otu_673	0.9473684210526316
otu_68	otu_138	0.9473684210526316
otu_68	otu_108	0.9473684210526316
otu_673	otu_711	0.9473684210526316
otu_108	otu_673	0.9473684210526316
otu_108	otu_507	0.9473684210526316
otu_108	otu_204	0.9473684210526316
otu_358	otu_653	0.9473684210526316
otu_356	otu_793	0.9473684210526316
otu_108	otu_190	0.9473684210526316
otu_754	otu_793	0.9473684210526316
otu_108	otu_358	0.9473684210526316
otu_358	otu_382	0.9473684210526316
otu_256	otu_329	0.9473684210526316
otu_145	otu_317	0.9473684210526316
otu_68	otu_317	0.9473684210526316
otu_329	otu_621	0.9444444444444444
otu_358	otu_504	0.9444444444444444
otu_31	otu_358	0.9444444444444444
otu_358	otu_801	0.9444444444444444
otu_207	otu_329	0.9444444444444444
otu_190	otu_406	0.9444444444444444
otu_190	otu_415	0.9444444444444444
otu_406	otu_673	0.9444444444444444
otu_204	otu_415	0.9444444444444444
otu_68	otu_621	0.9444444444444444
otu_204	otu_406	0.9444444444444444
otu_68	otu_207	0.9444444444444444
otu_415	otu_673	0.9444444444444444
otu_329	otu_504	0.9444444444444444
otu_329	otu_415	0.9444444444444444
otu_358	otu_727	0.9444444444444444
otu_329	otu_352	0.9444444444444444
otu_68	otu_415	0.9444444444444444
otu_68	otu_406	0.9444444444444444
otu_145	otu_415	0.9444444444444444
otu_145	otu_406	0.9444444444444444
otu_68	otu_504	0.9444444444444444
otu_329	otu_406	0.9444444444444444
otu_68	otu_352	0.9444444444444444
otu_512	otu_862	0.9411764705882353
otu_512	otu_848	0.9411764705882353
otu_344	otu_512	0.9411764705882353
otu_506	otu_621	0.9411764705882353
otu_621	otu_731	0.9411764705882353
otu_352	otu_506	0.9411764705882353
otu_352	otu_762	0.9411764705882353
otu_773	otu_848	0.9411764705882353
otu_773	otu_862	0.9411764705882353
otu_617	otu_727	0.9411764705882353
otu_344	otu_773	0.9411764705882353
otu_621	otu_762	0.9411764705882353
otu_352	otu_731	0.9411764705882353
otu_406	otu_776	0.9411764705882353
otu_415	otu_731	0.9411764705882353
otu_415	otu_776	0.9411764705882353
otu_31	otu_617	0.9411764705882353
otu_406	otu_731	0.9411764705882353
otu_406	otu_762	0.9411764705882353
otu_415	otu_762	0.9411764705882353
otu_617	otu_801	0.9411764705882353
otu_207	otu_506	0.9411764705882353
otu_66	otu_862	0.9375
otu_642	otu_884	0.9375
otu_319	otu_728	0.9375
otu_319	otu_776	0.9375
otu_5	otu_883	0.9375
otu_808	otu_862	0.9375
otu_735	otu_762	0.9375
otu_735	otu_776	0.9375
otu_761	otu_862	0.9375
otu_731	otu_735	0.9375
otu_344	otu_808	0.9375
otu_319	otu_731	0.9375
otu_66	otu_883	0.9375
otu_66	otu_718	0.9375
otu_239	otu_762	0.9375
otu_731	otu_734	0.9375
otu_734	otu_762	0.9375
otu_344	otu_855	0.9375
otu_761	otu_883	0.9375
otu_506	otu_734	0.9375
otu_297	otu_875	0.9375
otu_848	otu_855	0.9375
otu_730	otu_862	0.9375
otu_3	otu_762	0.9375
otu_730	otu_883	0.9375
otu_3	otu_731	0.9375
otu_718	otu_808	0.9375
otu_66	otu_344	0.9375
otu_855	otu_862	0.9375
otu_730	otu_848	0.9375
otu_728	otu_735	0.9375
otu_297	otu_520	0.9375
otu_66	otu_848	0.9375
otu_87	otu_520	0.9375
otu_520	otu_617	0.9375
otu_87	otu_875	0.9375
otu_319	otu_762	0.9375
otu_808	otu_883	0.9375
otu_344	otu_761	0.9375
otu_761	otu_848	0.9375
otu_718	otu_730	0.9375
otu_239	otu_731	0.9375
otu_5	otu_718	0.9375
otu_718	otu_761	0.9375
otu_617	otu_875	0.9375
otu_808	otu_848	0.9375
otu_3	otu_506	0.9375
otu_344	otu_730	0.9375
otu_5	otu_246	0.9333333333333333
otu_230	otu_573	0.9333333333333333
otu_230	otu_536	0.9333333333333333
otu_288	otu_734	0.9333333333333333
otu_288	otu_319	0.9333333333333333
