source	target	Spearman	P_value	FDR
otu_80	otu_869	0.9532456456506575	8.553069363870236e-11	6.065283919554076e-8
otu_406	otu_415	0.9532428355957768	8.557599073810707e-11	6.065283919554076e-8
otu_415	otu_68	0.9521663328970837	1.0461764787805805e-10	7.341465753470538e-8
otu_416	otu_84	0.951960831636499	1.0865086608191632e-10	7.549743906295982e-8
otu_280	otu_830	0.9517337345336012	1.1326761750751757e-10	7.794131707245452e-8
otu_5	otu_855	0.9511450381679389	1.260522797252861e-10	8.590462863278248e-8
otu_209	otu_759	0.9496134213880177	1.6548584724773718e-10	1.106507066936851e-7
otu_350	otu_482	0.9496134213880177	1.6548584724773718e-10	1.106507066936851e-7
otu_359	otu_871	0.9495583431403816	1.670872329384565e-10	1.1067733384809387e-7
otu_207	otu_506	0.9493599615416979	1.729691945229206e-10	1.1351263547228259e-7
otu_421	otu_482	0.9486218889346757	1.9649282201328333e-10	1.277672041560869e-7
otu_337	otu_430	0.9484978540772532	2.0071189155146385e-10	1.2932414568728685e-7
otu_520	otu_727	0.9484241481047312	2.0325696681311456e-10	1.2978415116978655e-7
otu_532	otu_69	0.9473829517471619	2.4238278051313955e-10	1.5239781045377075e-7
otu_317	otu_356	0.9473684210526315	2.429729750730303e-10	1.5239781045377075e-7
otu_452	otu_738	0.9471743368630463	2.5097746103597274e-10	1.5603753095075091e-7
otu_421	otu_506	0.9468883971184971	2.631947992881578e-10	1.6093344634704465e-7
otu_206	otu_892	0.9468838482497712	2.633935292095657e-10	1.6093344634704465e-7
otu_160	otu_430	0.9467811158798283	2.679128030536049e-10	1.622956224720282e-7
otu_14	otu_538	0.9459861820655586	3.052629260480444e-10	1.8300897155506317e-7
otu_115	otu_306	0.9459459459459459	3.0726998723196175e-10	1.8300897155506317e-7
otu_558	otu_721	0.9456622206984617	3.2175773156950527e-10	1.9004084152266878e-7
otu_730	otu_808	0.9450381679389313	3.5576586121521814e-10	2.083905882602463e-7
