source	target	Rho
otu_763	otu_759	0.91389393216639
otu_545	otu_337	0.913838317854454
otu_764	otu_489	0.913175420339108
otu_898	otu_90	0.913144667130239
otu_898	otu_744	0.911444046825347
otu_871	otu_359	0.910943513731989
otu_894	otu_261	0.91064441443681
otu_763	otu_482	0.910560632762574
otu_574	otu_263	0.910512338755252
otu_886	otu_767	0.910476991170275
otu_802	otu_80	0.91035993714326
otu_898	otu_160	0.910150185919983
otu_640	otu_482	0.909779604366102
otu_482	otu_209	0.909733726316968
otu_777	otu_164	0.90949686130194
otu_759	otu_640	0.909215252819261
otu_721	otu_558	0.908757745432683
otu_533	otu_263	0.907946819042801
otu_588	otu_275	0.907749869271572
otu_892	otu_206	0.907463293351818
otu_574	otu_508	0.907317071188052
otu_532	otu_69	0.906641701839682
otu_574	otu_489	0.906305625459826
otu_327	otu_254	0.905505398210158
otu_135	otu_103	0.905473501046031
otu_346	otu_4	0.905375442103417
otu_417	otu_275	0.905201025670958
otu_267	otu_67	0.904956774515496
otu_284	otu_224	0.904475464898912
otu_670	otu_545	0.904329225183241
otu_545	otu_90	0.903168948651433
otu_829	otu_748	0.903121857171057
otu_444	otu_267	0.902852620970283
otu_574	otu_80	0.902549639588767
otu_891	otu_232	0.902206310517107
otu_161	otu_74	0.901953695531298
otu_330	otu_267	0.901851452408579
otu_499	otu_286	0.901212451628941
otu_650	otu_440	0.900993203645459
otu_330	otu_237	0.900437500757376
otu_545	otu_430	0.899932834644615
otu_550	otu_439	0.899741671747312
otu_659	otu_107	0.898698034063085
otu_526	otu_499	0.898390202192687
otu_74	otu_1	0.897691692953819
otu_783	otu_164	0.897168060002018
otu_896	otu_447	0.896145058345867
otu_533	otu_116	0.895227946443134
otu_829	otu_782	0.894888609975806
otu_881	otu_545	0.894805069874997
otu_545	otu_318	0.894733338478964
otu_783	otu_67	0.894692069539653
otu_698	otu_387	0.89441856890769
otu_493	otu_183	0.894260231162896
otu_783	otu_444	0.894174102722572
otu_802	otu_116	0.893153782779998
otu_559	otu_201	0.892638988094106
otu_536	otu_230	0.89222937481267
otu_559	otu_270	0.89179269699344
otu_561	otu_4	0.891521016028143
otu_533	otu_489	0.891489534674127
otu_759	otu_224	0.890317127604284
otu_573	otu_230	0.890255675588561
otu_898	otu_318	0.890248209556249
otu_545	otu_237	0.88928387254989
otu_559	otu_125	0.889011618062139
otu_654	otu_531	0.888867238612836
otu_343	otu_227	0.888851966736849
otu_545	otu_160	0.888430011950039
otu_558	otu_280	0.888384144488364
otu_653	otu_22	0.888346706915691
otu_258	otu_181	0.888310274216699
otu_95	otu_19	0.887994789952835
otu_670	otu_299	0.88789515291187
otu_655	otu_306	0.887879863873244
otu_654	otu_29	0.887859960823158
otu_789	otu_164	0.887660362735318
otu_533	otu_80	0.887602862651693
otu_558	otu_48	0.887214597898168
otu_299	otu_90	0.887009836928016
otu_847	otu_316	0.886923427848322
otu_851	otu_493	0.886461957035364
otu_802	otu_508	0.884573537361962
otu_168	otu_69	0.884456913531609
otu_201	otu_198	0.88428880656155
otu_744	otu_545	0.883986241994669
otu_823	otu_626	0.883943691072623
otu_356	otu_138	0.88334972196879
otu_668	otu_460	0.883313610455701
otu_97	otu_19	0.883311334990256
otu_482	otu_224	0.882614349952491
otu_655	otu_115	0.882578996118287
otu_717	otu_311	0.882188615713812
otu_370	otu_139	0.880679281115571
otu_533	otu_508	0.880348409238894
otu_826	otu_541	0.878996536895354
otu_592	otu_95	0.878432383827924
otu_753	otu_327	0.878042104973064
otu_337	otu_14	0.878009927005541
otu_574	otu_139	0.877960573232857
otu_789	otu_67	0.877806211436101
otu_851	otu_12	0.877685615169487
otu_587	otu_482	0.877587834981227
otu_246	otu_5	0.877061126139686
otu_759	otu_587	0.876999817155704
otu_863	otu_851	0.8769993850305
otu_860	otu_493	0.876658694833516
otu_559	otu_245	0.876380976697601
otu_789	otu_444	0.876050641206067
otu_270	otu_198	0.875701199652255
otu_711	otu_138	0.875392161216225
otu_288	otu_3	0.874574514192532
otu_382	otu_138	0.874017348037893
otu_204	otu_145	0.87362354558987
otu_306	otu_4	0.873042314171285
otu_410	otu_1	0.873014501767361
